Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
7174,Normal/Others,"WS/MP18326/2024-2025/160251-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA),Paver block work at Veravadar village in crematorium,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,,15-Jul-2025,153681.83,WS/MP18326/2024-2025/160251,Normal/Others,153681.83,2025-07-15,GUJARAT,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,Paver block work at Veravadar village in crematorium,False
7175,Normal/Others,"WS/MP18326/2024-2025/160250-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA),paver block work in Kharwa village from Gagjibhai Bharwad's house to Nagjibhai Bharwad's house,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,,15-Jul-2025,153592.64,WS/MP18326/2024-2025/160250,Normal/Others,153592.64,2025-07-15,GUJARAT,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,paver block work in Kharwa village from Gagjibhai Bharwad's house to Nagjibhai Bharwad's house,False
7176,Normal/Others,WS/MP18338/2025-2026/155833-Lighting of public spaces,Telangana,SIDDIPET(District Collector Siddipet_IDA),PROVIDING OF HIGH MAST LIGHT IN DHOOLMITTA VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,22-May-2025,51180.29,WS/MP18338/2025-2026/155833,Normal/Others,51180.29,2025-05-22,TELANGANA,BHONGIR,CHAMALA KIRAN KUMAR REDDY,PROVIDING OF HIGH MAST LIGHT IN DHOOLMITTA VILLAGE,False
7177,Normal/Others,WS/MP522/2024-2025/163197-Improvement of electricity distribution infrastructure,Andhra Pradesh,SRIKAKULAM(District Collector Srikakulam_IDA),Shifting of Electrical Poles in Koduru village limits of Polaki mandal,Kinjarapu Ram Mohan Naidu,SRIKAKULAM,Images,19-May-2025,211406.5,WS/MP522/2024-2025/163197,Normal/Others,211406.5,2025-05-19,ANDHRA PRADESH,SRIKAKULAM,KINJARAPU RAM MOHAN NAIDU,Shifting of Electrical Poles in Koduru village limits of Polaki mandal,True
7178,Normal/Others,"WS/MP18001/2024-2025/163098-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),Construction of CC Road from Kasimanu Tumu to ITI College at Chintalameraka in 3rd Ward,GM Harish Balayogi,AMALAPURAM(SC),Images,19-May-2025,1001909.1,WS/MP18001/2024-2025/163098,Normal/Others,1001909.1,2025-05-19,ANDHRA PRADESH,AMALAPURAM(SC),GM HARISH BALAYOGI,Construction of CC Road from Kasimanu Tumu to ITI College at Chintalameraka in 3rd Ward,True
7179,Normal/Others,WS/MP522/2024-2025/163199-Improvement of electricity distribution infrastructure,Andhra Pradesh,SRIKAKULAM(District Collector Srikakulam_IDA),Shifting of 11 KV Line in Mabagam and Gajapathinagaram village limits of Polaki mandal.,Kinjarapu Ram Mohan Naidu,SRIKAKULAM,Images,19-May-2025,292114.44,WS/MP522/2024-2025/163199,Normal/Others,292114.44,2025-05-19,ANDHRA PRADESH,SRIKAKULAM,KINJARAPU RAM MOHAN NAIDU,Shifting of 11 KV Line in Mabagam and Gajapathinagaram village limits of Polaki mandal.,True
7180,Normal/Others,WS/MP522/2024-2025/163200-Improvement of electricity distribution infrastructure,Andhra Pradesh,SRIKAKULAM(District Collector Srikakulam_IDA),"Shifting of Electrical Poles in Harikrishnampeta village limits, Jalumuru mandal",Kinjarapu Ram Mohan Naidu,SRIKAKULAM,Images,19-May-2025,250089.52,WS/MP522/2024-2025/163200,Normal/Others,250089.52,2025-05-19,ANDHRA PRADESH,SRIKAKULAM,KINJARAPU RAM MOHAN NAIDU,"Shifting of Electrical Poles in Harikrishnampeta village limits, Jalumuru mandal",True
7181,Normal/Others,WS/MP18314/2024-2025/141404-Construction of community centers and community halls,Punjab,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),"Construction of Shed In Bajwa Patti Dharmshala W.no 13,Barnala MC Barnala",GURMEET SINGH MEET HAYER,SANGRUR,Images,29-May-2025,103413.38,WS/MP18314/2024-2025/141404,Normal/Others,103413.38,2025-05-29,PUNJAB,SANGRUR,GURMEET SINGH MEET HAYER,"Construction of Shed In Bajwa Patti Dharmshala W.no 13,Barnala MC Barnala",True
7182,Normal/Others,"WS/MP18234/2024-2025/154120-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Vikas Khand Lalganj ke gram sabha Payagipur me Mata Pher Nai ke ghar se ram Sajivan ke ghar tak Interlocking road.,DR. S P SINGH,PRATAPGARH,,29-Jul-2025,196051.7,WS/MP18234/2024-2025/154120,Normal/Others,196051.7,2025-07-29,UTTAR PRADESH,PRATAPGARH,DR. S P SINGH,Vikas Khand Lalganj ke gram sabha Payagipur me Mata Pher Nai ke ghar se ram Sajivan ke ghar tak Interlocking road.,False
7183,Normal/Others,"WS/MP18160/2025-2026/177049-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),1. SMART CLASS BOARD WITH INVERTER IN GSSS KHIWALIYA,UMMEDA RAM BENIWAL,BARMER,Images,09-Jan-2026,76884.23,WS/MP18160/2025-2026/177049,Normal/Others,76884.23,2026-01-09,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,1. SMART CLASS BOARD WITH INVERTER IN GSSS KHIWALIYA,True
7184,Normal/Others,WS/MP18006/2024-2025/146727-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Andhra Pradesh,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Construction of ST Colony Burial Ground to Thumba GP of Bangarupalyam Mandal of Puthalapattu Constituency.,DAGGUMALLA PRASADA RAO,CHITTOOR,Images,20-May-2025,249258.66,WS/MP18006/2024-2025/146727,Normal/Others,249258.66,2025-05-20,ANDHRA PRADESH,CHITTOOR,DAGGUMALLA PRASADA RAO,Construction of ST Colony Burial Ground to Thumba GP of Bangarupalyam Mandal of Puthalapattu Constituency.,True
7185,Normal/Others,WS/MP524/2024-2025/157651-Installing tube-wells and borewells,Andhra Pradesh,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Motor & Pump Set in PN Colony (V&G.P),Midhun Reddy,RAJAMPET,Images,20-May-2025,45793.27,WS/MP524/2024-2025/157651,Normal/Others,45793.27,2025-05-20,ANDHRA PRADESH,RAJAMPET,MIDHUN REDDY,Motor & Pump Set in PN Colony (V&G.P),True
7186,Normal/Others,WS/MP524/2024-2025/157649-Purchase of mobile water tankers,Andhra Pradesh,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),"Providing Motor, Pump Set & Sintex Tank in Dasuravandlapalli (V), Prakash Nagar Colony G.P",Midhun Reddy,RAJAMPET,Images,20-May-2025,42647.68,WS/MP524/2024-2025/157649,Normal/Others,42647.68,2025-05-20,ANDHRA PRADESH,RAJAMPET,MIDHUN REDDY,"Providing Motor, Pump Set & Sintex Tank in Dasuravandlapalli (V), Prakash Nagar Colony G.P",True
7187,Repair and Renovation,WS/MP18155/2025-2026/189446-Installing tube-wells and borewells,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Installation of Electric Motor 17.5 Hp  six Stage pump model,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),,28-Oct-2025,49111.59,WS/MP18155/2025-2026/189446,Repair and Renovation,49111.59,2025-10-28,PUNJAB,HOSHIARPUR(SC),DR. RAJ KUMAR CHABBEWAL,Installation of Electric Motor 17.5 Hp  six Stage pump model,False
7188,Normal/Others,WS/MP18152/2024-2025/176298-Fitting of Sitting RCC Benches in Public Places,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Fitting of Sitting RCC Benches in Public Places in Gram Panchayat Guru Ki Dhab  Matta,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Jan-2026,76884.23,WS/MP18152/2024-2025/176298,Normal/Others,76884.23,2026-01-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Fitting of Sitting RCC Benches in Public Places in Gram Panchayat Guru Ki Dhab  Matta,False
7189,Normal/Others,"WS/MP18325/2024-2025/166320-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),making of a pathway (paving block) in the compund hall of Dedarda Primary School,NIMUBEN JAYANTIBHAI BAMBHANIYA,BHAVNAGAR,Images,20-May-2025,153768.45,WS/MP18325/2024-2025/166320,Normal/Others,153768.45,2025-05-20,GUJARAT,BHAVNAGAR,NIMUBEN JAYANTIBHAI BAMBHANIYA,making of a pathway (paving block) in the compund hall of Dedarda Primary School,True
7190,Normal/Others,WS/MP18152/2024-2025/176297-Fitting of Sitting RCC Benches in Public Places,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Fitting of Sitting RCC Benches in Public Places in Gram Panchayat Matta,SARABJEET SINGH KHALSA,FARIDKOT(SC),,09-Dec-2025,76884.23,WS/MP18152/2024-2025/176297,Normal/Others,76884.23,2025-12-09,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Fitting of Sitting RCC Benches in Public Places in Gram Panchayat Matta,False
7191,Normal/Others,WS/MP18152/2024-2025/176309-Street lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),"Installation of Street Lights in Gram Panchayat Guru Ki Dhab, Matta",SARABJEET SINGH KHALSA,FARIDKOT(SC),,09-Dec-2025,76884.23,WS/MP18152/2024-2025/176309,Normal/Others,76884.23,2025-12-09,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,"Installation of Street Lights in Gram Panchayat Guru Ki Dhab, Matta",False
7192,Normal/Others,WS/MP18152/2024-2025/176311-Street lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of Street Lights,SARABJEET SINGH KHALSA,FARIDKOT(SC),,09-Dec-2025,102512.3,WS/MP18152/2024-2025/176311,Normal/Others,102512.3,2025-12-09,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of Street Lights,False
7193,Normal/Others,WS/MP745/2025-2026/146609-Construction of water tanks,Tamil Nadu,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),Construction of 30000lr OHT  Ward No. 14 old Arisana Colony at Athani TP,K Subbarayan,TIRUPPUR,Images,20-May-2025,768842.26,WS/MP745/2025-2026/146609,Normal/Others,768842.26,2025-05-20,TAMIL NADU,TIRUPPUR,K SUBBARAYAN,Construction of 30000lr OHT  Ward No. 14 old Arisana Colony at Athani TP,True
7194,Normal/Others,WS/MP18173/2025-2026/151517-Lighting of public spaces,Tamil Nadu,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),Providing of Installation in Mini High Mass Light (9 Mt Height 100 W) 6 numbers at ADC in Kipattu panchayat,THARANIVENTHAN M S,ARANI,Images,18-Mar-2026,153768.45,WS/MP18173/2025-2026/151517,Normal/Others,153768.45,2026-03-18,TAMIL NADU,ARANI,THARANIVENTHAN M S,Providing of Installation in Mini High Mass Light (9 Mt Height 100 W) 6 numbers at ADC in Kipattu panchayat,True
7195,Normal/Others,WS/MP761/2025-2026/171047-Construction of common work sheds/ common covered sitting area,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),"Construction of Kitchen Shed, compound Wall, Toilet to Existing Community hall in SC Wada, Suddapalle (V)",Arvind Dharmapuri,NIZAMABAD,,20-May-2025,153768.45,WS/MP761/2025-2026/171047,Normal/Others,153768.45,2025-05-20,TELANGANA,NIZAMABAD,ARVIND DHARMAPURI,"Construction of Kitchen Shed, compound Wall, Toilet to Existing Community hall in SC Wada, Suddapalle (V)",False
7196,Normal/Others,WS/MP18253/2024-2025/136913-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALATION OF SOLAR HIGHMUST LIGHT AT RAIDIGHI COLLAGE GROUND,BAPI HALDAR,MATHURAPUR(SC),Images,20-May-2025,85315.86,WS/MP18253/2024-2025/136913,Normal/Others,85315.86,2025-05-20,WEST BENGAL,MATHURAPUR(SC),BAPI HALDAR,INSTALATION OF SOLAR HIGHMUST LIGHT AT RAIDIGHI COLLAGE GROUND,True
7197,Normal/Others,"WS/MP761/2025-2026/172369-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),"Laying of CC road from NH service road to Ganga sailu house, Suddapally (V)",Arvind Dharmapuri,NIZAMABAD,,20-May-2025,205024.6,WS/MP761/2025-2026/172369,Normal/Others,205024.6,2025-05-20,TELANGANA,NIZAMABAD,ARVIND DHARMAPURI,"Laying of CC road from NH service road to Ganga sailu house, Suddapally (V)",False
7198,Normal/Others,WS/MP18253/2024-2025/136914-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALATION OF SOLAR HIGHMUST LIGHT AT BOLER BAZER,BAPI HALDAR,MATHURAPUR(SC),Images,20-May-2025,85298.44,WS/MP18253/2024-2025/136914,Normal/Others,85298.44,2025-05-20,WEST BENGAL,MATHURAPUR(SC),BAPI HALDAR,INSTALATION OF SOLAR HIGHMUST LIGHT AT BOLER BAZER,True
7199,Normal/Others,WS/MP457/2024-2025/149285-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Tamil Nadu,Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA),"Tindivanam taluk, Molasur village, Adi Dravidar area Graveyard Cremation Shed.",D Ravikumar,VILUPPURAM(SC),Images,23-Aug-2025,204437.72,WS/MP457/2024-2025/149285,Normal/Others,204437.72,2025-08-23,TAMIL NADU,VILUPPURAM(SC),D RAVIKUMAR,"Tindivanam taluk, Molasur village, Adi Dravidar area Graveyard Cremation Shed.",True
7200,Normal/Others,WS/MP18253/2024-2025/136912-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALATION OF SOLAR HIGHMUST LIGHT AT CHAKRATIRTHA MAHASAMSAN,BAPI HALDAR,MATHURAPUR(SC),Images,20-May-2025,85315.86,WS/MP18253/2024-2025/136912,Normal/Others,85315.86,2025-05-20,WEST BENGAL,MATHURAPUR(SC),BAPI HALDAR,INSTALATION OF SOLAR HIGHMUST LIGHT AT CHAKRATIRTHA MAHASAMSAN,True
7201,Normal/Others,WS/MP18039/2024-2025/155611-Lighting of public spaces,Bihar,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),Supply and installation work of high mask light,RAJESH VERMA,KHAGARIA,Images,20-May-2025,511936.18,WS/MP18039/2024-2025/155611,Normal/Others,511936.18,2025-05-20,BIHAR,KHAGARIA,RAJESH VERMA,Supply and installation work of high mask light,True
7202,Normal/Others,WS/MP18309/2025-2026/190555-Development of playfields and sports grounds,Meghalaya,NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA),Construction of earthwork at Songmegap field,SALENG A SANGMA,TURA,Images,20-Feb-2026,358793.05,WS/MP18309/2025-2026/190555,Normal/Others,358793.05,2026-02-20,MEGHALAYA,TURA,SALENG A SANGMA,Construction of earthwork at Songmegap field,True
7203,Normal/Others,"WS/MP18309/2025-2026/183494-Construction of roads, link roads, pathways or any other road with or without drainage system",Meghalaya,NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA),Construction of road (earthwork) at Bangsi Apal,SALENG A SANGMA,TURA,Images,19-Feb-2026,256280.75,WS/MP18309/2025-2026/183494,Normal/Others,256280.75,2026-02-19,MEGHALAYA,TURA,SALENG A SANGMA,Construction of road (earthwork) at Bangsi Apal,True
7204,Normal/Others,WS/MP18309/2025-2026/183495-Construction of public toilets and bathrooms,Meghalaya,NORTH GARO HILLS(DEPUTY COMMISSIONER NORTH GARO HILLS RESUBELPARA_IDA),Construction of Kitchen shed-cum-Toilet at Chimatcha village,SALENG A SANGMA,TURA,Images,19-Feb-2026,256280.75,WS/MP18309/2025-2026/183495,Normal/Others,256280.75,2026-02-19,MEGHALAYA,TURA,SALENG A SANGMA,Construction of Kitchen shed-cum-Toilet at Chimatcha village,True
7205,Normal/Others,WS/MP858/2024-2025/166996-Installing community drinking water plants,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),INSTALLATION OF SUB MERCIBLE PUMP WITH PIPE LINE FOR DRINKING WATER AT SONACHITURIA.EXECUTING AGENCY WILL BE EO LABPUR PANCHAYET SAMITY.,Asit Kumar Mal,BOLPUR(SC),Images,20-May-2025,205004.1,WS/MP858/2024-2025/166996,Normal/Others,205004.1,2025-05-20,WEST BENGAL,BOLPUR(SC),ASIT KUMAR MAL,INSTALLATION OF SUB MERCIBLE PUMP WITH PIPE LINE FOR DRINKING WATER AT SONACHITURIA.EXECUTING AGENCY WILL BE EO LABPUR PANCHAYET SAMITY.,True
7206,Normal/Others,WS/MP18108/2024-2025/162331-Construction of bus-sheds or bus-stops,Madhya Pradesh,VIDISHA(District Collector Vidisha_IDA),Pre fabricated  bus shelter  model number 3 with two LED solar light 1.Gram Panchayat Berkhedi me Berkheri Tirahe par 2. Gram Panchayat Chitavar me chitavar Main Road Par 3. Gram Panchayat Chodakhedi Me chodakhedi Tirahe par  4. Gram biram Khedi  Raikhedi me Main Road se Raikhedi  5. Gram Panchayat Tak khajuri Me main Road se tajkhajuri  6. Gram Panchayat Kherai me kankdham me  7. Gram Panchayat Bhalbamora me main chouraha par 8. Gram Panchayat Bhoransa  9. Gram Panchayat  Babaikhurd me,DR. LATA WANKHEDE,SAGAR,,20-May-2025,1199126.36,WS/MP18108/2024-2025/162331,Normal/Others,1199126.36,2025-05-20,MADHYA PRADESH,SAGAR,DR. LATA WANKHEDE,Pre fabricated  bus shelter  model number 3 with two LED solar light 1.Gram Panchayat Berkhedi me Berkheri Tirahe par 2. Gram Panchayat Chitavar me chitavar Main Road Par 3. Gram Panchayat Chodakhedi Me chodakhedi Tirahe par  4. Gram biram Khedi  Raikhedi me Main Road se Raikhedi  5. Gram Panchayat Tak khajuri Me main Road se tajkhajuri  6. Gram Panchayat Kherai me kankdham me  7. Gram Panchayat Bhalbamora me main chouraha par 8. Gram Panchayat Bhoransa  9. Gram Panchayat  Babaikhurd me,False
7207,Normal/Others,WS/MP18152/2024-2025/176307-Street lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of Street Lights,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Jan-2026,102512.3,WS/MP18152/2024-2025/176307,Normal/Others,102512.3,2026-01-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of Street Lights,False
7208,Normal/Others,WS/MP18152/2024-2025/176314-Street lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of Street Lights in Gram Panchayat Guru Kirpa Sadhanwala,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Jan-2026,76884.23,WS/MP18152/2024-2025/176314,Normal/Others,76884.23,2026-01-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of Street Lights in Gram Panchayat Guru Kirpa Sadhanwala,False
7209,Normal/Others,WS/MP18152/2024-2025/176313-Street lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of Street Lights in Gram Panchayat Sadhanwala Gill Patti,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Jan-2026,76884.23,WS/MP18152/2024-2025/176313,Normal/Others,76884.23,2026-01-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of Street Lights in Gram Panchayat Sadhanwala Gill Patti,False
7210,Normal/Others,"WS/MP18160/2025-2026/177053-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),3. SMART CLASS BOARD WITH INVERTER IN GSSS Rojiya Nada,UMMEDA RAM BENIWAL,BARMER,Images,09-Jan-2026,76884.23,WS/MP18160/2025-2026/177053,Normal/Others,76884.23,2026-01-09,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,3. SMART CLASS BOARD WITH INVERTER IN GSSS Rojiya Nada,True
7211,Normal/Others,"WS/MP18160/2025-2026/177055-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),4. SMART CLASS BOARD WITH INVERTER IN GSSS HEMJI KA TALA,UMMEDA RAM BENIWAL,BARMER,Images,09-Jan-2026,76884.23,WS/MP18160/2025-2026/177055,Normal/Others,76884.23,2026-01-09,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,4. SMART CLASS BOARD WITH INVERTER IN GSSS HEMJI KA TALA,True
7212,Normal/Others,"WS/MP18160/2025-2026/177056-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),5. SMART CLASS BOARD WITH INVERTER IN GSSS JOGASAR,UMMEDA RAM BENIWAL,BARMER,Images,09-Jan-2026,76884.23,WS/MP18160/2025-2026/177056,Normal/Others,76884.23,2026-01-09,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,5. SMART CLASS BOARD WITH INVERTER IN GSSS JOGASAR,True
7213,Normal/Others,"WS/MP18160/2025-2026/177057-Purchase of smart boards, visual display units and projectors",Rajasthan,Balotra(DISTRICT COLLECTOR Balotra_IDA),6. SMART CLASS BOARD WITH INVERTER IN GSSS AKDARA,UMMEDA RAM BENIWAL,BARMER,Images,09-Jan-2026,76884.23,WS/MP18160/2025-2026/177057,Normal/Others,76884.23,2026-01-09,RAJASTHAN,BARMER,UMMEDA RAM BENIWAL,6. SMART CLASS BOARD WITH INVERTER IN GSSS AKDARA,True
7214,Normal/Others,WS/MP360/2025-2026/187099-Improvement of electricity distribution infrastructure,Madhya Pradesh,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),1 25 KVA hetu transformer sthapna work Gram runkheda,Shri Anil Firojiya,UJJAIN(SC),Images,27-Jan-2026,380038.21,WS/MP360/2025-2026/187099,Normal/Others,380038.21,2026-01-27,MADHYA PRADESH,UJJAIN(SC),SHRI ANIL FIROJIYA,1 25 KVA hetu transformer sthapna work Gram runkheda,True
7215,Normal/Others,WS/MP18109/2024-2025/175865-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175865,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7216,Normal/Others,WS/MP18109/2024-2025/175864-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,Images,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175864,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,True
7217,Normal/Others,WS/MP18109/2024-2025/175863-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175863,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7218,Normal/Others,WS/MP18338/2025-2026/155819-Lighting of public spaces,Telangana,SIDDIPET(District Collector Siddipet_IDA),PROVIDING OF HIGH MAST LIGHT IN MADDUR VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,22-May-2025,51180.29,WS/MP18338/2025-2026/155819,Normal/Others,51180.29,2025-05-22,TELANGANA,BHONGIR,CHAMALA KIRAN KUMAR REDDY,PROVIDING OF HIGH MAST LIGHT IN MADDUR VILLAGE,False
7219,Normal/Others,WS/MP18109/2024-2025/175867-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175867,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7220,Normal/Others,WS/MP18109/2024-2025/175866-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175866,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7221,Normal/Others,WS/MP18109/2024-2025/175861-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175861,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7222,Normal/Others,WS/MP18109/2024-2025/175862-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175862,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7223,Normal/Others,WS/MP18109/2024-2025/175860-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,29-Jan-2026,593395.02,WS/MP18109/2024-2025/175860,Normal/Others,593395.02,2026-01-29,MADHYA PRADESH,SIDHI,DR. RAJESH MISHRA,35 NAG SOLAR STREET LIGHTS KA INSTTALATION,False
7224,Normal/Others,WS/MP18338/2025-2026/155839-Lighting of public spaces,Telangana,SIDDIPET(District Collector Siddipet_IDA),PROVIDING OF HIGH MAST LIGHT IN THORNALA VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,22-May-2025,51180.29,WS/MP18338/2025-2026/155839,Normal/Others,51180.29,2025-05-22,TELANGANA,BHONGIR,CHAMALA KIRAN KUMAR REDDY,PROVIDING OF HIGH MAST LIGHT IN THORNALA VILLAGE,False
